Type,Bank,Country,Region,Year,AmountUSDMillions,Group,Sector,Client,ForestRiskClientRegion
Shareholding,Permodalan Nasional Berhad,Malaysia,Southeast Asia,2021,4175.82,Sime Darby,Palm oil,Sime Darby Plantations,Southeast Asia
Revolving credit facility,BNP Paribas,France,EU27,2018,1725,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Rabobank,Netherlands,EU27,2018,1725,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,JPMorgan Chase,United States,North America,2018,1725,Suzano,Pulp & paper,Suzano,Latin America
Shareholding,BNDES,Brazil,South America,2021,1500.51,JBS,Beef,JBS,Latin America
Bond issuance,Bradesco,Brazil,South America,2018,1207.56,Suzano,Pulp & paper,Suzano,Latin America
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,1206.1,Sime Darby,Palm oil,Sime Darby Plantations,Southeast Asia
Shareholding,Eight Capital,British Virgin Islands,Central America,2021,1077.15,Surya Dumai Group,Palm oil,First Resources,Southeast Asia
Bond issuance,Banco do Brasil,Brazil,South America,2019,1070.92,Suzano,Pulp & paper,Suzano,Latin America
Shareholding,BNDES,Brazil,South America,2021,1011.05,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,999.92,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,912.48,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,900.32,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,Genting,Malaysia,Southeast Asia,2021,897.14,Genting Group,Palm oil,Genting Plantations,Southeast Asia
Shareholding,Lembaga Kemajuan Tanah Persekutuan (FELDA),Malaysia,Southeast Asia,2021,850.62,Felda Group,Palm oil,Felda Global Ventures,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,849.26,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,847.94,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,839.16,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,786.98,IOI Group,Palm oil,IOI Corporation,Southeast Asia
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,771.06,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,622.53,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,619.25,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,604.77,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2019,602.71,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2014,599.7,Albukhary Group ,Palm oil,Tradewinds Malaysia,Southeast Asia
Shareholding,Fidelity Investments,United States,North America,2021,593.22,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,BNP Paribas,France,EU27,2018,575,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2018,575,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,JPMorgan Chase,United States,North America,2018,575,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2019,575,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Shareholding,Permodalan Nasional Berhad,Malaysia,Southeast Asia,2021,566.56,IOI Group,Palm oil,IOI Corporation,Southeast Asia
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,549.62,Top Glove,Rubber,Top Glove,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,530.33,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,BNP Paribas,France,EU27,2018,520.11,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2018,520.11,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Mizuho Financial,Japan,East Asia,2018,520.11,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,BNDES,Brazil,South America,2016,516.29,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2018,509.53,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2015,508.6,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,JPMorgan Chase,United States,North America,2016,500,Suzano,Pulp & paper,Suzano Eligible Green Projects,Latin America
Shareholding,Permodalan Nasional Berhad,Malaysia,Southeast Asia,2021,490.39,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Southeast Asia
